year,state,state_po,office,totalvotes
1976,ALABAMA,AL,US PRESIDENT,1182850
1976,ALASKA,AK,US PRESIDENT,123574
1976,ARIZONA,AZ,US PRESIDENT,742719
1976,ARKANSAS,AR,US PRESIDENT,767535
1976,CALIFORNIA,CA,US PRESIDENT,7803770
1976,COLORADO,CO,US PRESIDENT,1081440
1976,CONNECTICUT,CT,US PRESIDENT,1386355
1976,DELAWARE,DE,US PRESIDENT,235642
1976,DISTRICT OF COLUMBIA,DC,US PRESIDENT,168830
1976,FLORIDA,FL,US PRESIDENT,3150631
1976,GEORGIA,GA,US PRESIDENT,1463152
1976,HAWAII,HI,US PRESIDENT,291301
1976,IDAHO,ID,US PRESIDENT,340932
1976,ILLINOIS,IL,US PRESIDENT,4721282
1976,INDIANA,IN,US PRESIDENT,2220362
1976,IOWA,IA,US PRESIDENT,1279303
1976,KANSAS,KS,US PRESIDENT,957845
1976,KENTUCKY,KY,US PRESIDENT,1167142
1976,LOUISIANA,LA,US PRESIDENT,1277383
1976,MAINE,ME,US PRESIDENT,482968
1976,MARYLAND,MD,US PRESIDENT,1432273
1976,MASSACHUSETTS,MA,US PRESIDENT,2547558
1976,MICHIGAN,MI,US PRESIDENT,3651590
1976,MINNESOTA,MN,US PRESIDENT,1949931
1976,MISSISSIPPI,MS,US PRESIDENT,768390
1976,MISSOURI,MO,US PRESIDENT,1953600
1976,MONTANA,MT,US PRESIDENT,328734
1976,NEBRASKA,NE,US PRESIDENT,606749
1976,NEVADA,NV,US PRESIDENT,201876
1976,NEW HAMPSHIRE,NH,US PRESIDENT,339627
1976,NEW JERSEY,NJ,US PRESIDENT,3014472
1976,NEW MEXICO,NM,US PRESIDENT,416590
1976,NEW YORK,NY,US PRESIDENT,6668262
1976,NORTH CAROLINA,NC,US PRESIDENT,1677906
1976,NORTH DAKOTA,ND,US PRESIDENT,297308
1976,OHIO,OH,US PRESIDENT,4110456
1976,OKLAHOMA,OK,US PRESIDENT,1092251
1976,OREGON,OR,US PRESIDENT,1029876
1976,PENNSYLVANIA,PA,US PRESIDENT,4620787
1976,RHODE ISLAND,RI,US PRESIDENT,410584
1976,SOUTH CAROLINA,SC,US PRESIDENT,802583
1976,SOUTH DAKOTA,SD,US PRESIDENT,300678
1976,TENNESSEE,TN,US PRESIDENT,1476346
1976,TEXAS,TX,US PRESIDENT,4071884
1976,UTAH,UT,US PRESIDENT,541218
1976,VERMONT,VT,US PRESIDENT,183902
1976,VIRGINIA,VA,US PRESIDENT,1697094
1976,WASHINGTON,WA,US PRESIDENT,1555534
1976,WEST VIRGINIA,WV,US PRESIDENT,750590
1976,WISCONSIN,WI,US PRESIDENT,2101336
1976,WYOMING,WY,US PRESIDENT,156343
1980,ALABAMA,AL,US PRESIDENT,1341929
1980,ALASKA,AK,US PRESIDENT,158445
1980,ARIZONA,AZ,US PRESIDENT,873945
1980,ARKANSAS,AR,US PRESIDENT,837582
1980,CALIFORNIA,CA,US PRESIDENT,8582938
1980,COLORADO,CO,US PRESIDENT,1184450
1980,CONNECTICUT,CT,US PRESIDENT,1406285
1980,DELAWARE,DE,US PRESIDENT,235668
1980,DISTRICT OF COLUMBIA,DC,US PRESIDENT,173889
1980,FLORIDA,FL,US PRESIDENT,3686927
1980,GEORGIA,GA,US PRESIDENT,1596805
1980,HAWAII,HI,US PRESIDENT,303287
1980,IDAHO,ID,US PRESIDENT,437431
1980,ILLINOIS,IL,US PRESIDENT,4749721
1980,INDIANA,IN,US PRESIDENT,2242033
1980,IOWA,IA,US PRESIDENT,1317661
1980,KANSAS,KS,US PRESIDENT,979795
1980,KENTUCKY,KY,US PRESIDENT,1295627
1980,LOUISIANA,LA,US PRESIDENT,1548591
1980,MAINE,ME,US PRESIDENT,523011
1980,MARYLAND,MD,US PRESIDENT,1540496
1980,MASSACHUSETTS,MA,US PRESIDENT,2524090
1980,MICHIGAN,MI,US PRESIDENT,3909725
1980,MINNESOTA,MN,US PRESIDENT,2051916
1980,MISSISSIPPI,MS,US PRESIDENT,891750
1980,MISSOURI,MO,US PRESIDENT,2099824
1980,MONTANA,MT,US PRESIDENT,363952
1980,NEBRASKA,NE,US PRESIDENT,639533
1980,NEVADA,NV,US PRESIDENT,243692
1980,NEW HAMPSHIRE,NH,US PRESIDENT,383990
1980,NEW JERSEY,NJ,US PRESIDENT,2975684
1980,NEW MEXICO,NM,US PRESIDENT,456237
1980,NEW YORK,NY,US PRESIDENT,6201959
1980,NORTH CAROLINA,NC,US PRESIDENT,1855833
1980,NORTH DAKOTA,ND,US PRESIDENT,301116
1980,OHIO,OH,US PRESIDENT,4283603
1980,OKLAHOMA,OK,US PRESIDENT,1149708
1980,OREGON,OR,US PRESIDENT,1181516
1980,PENNSYLVANIA,PA,US PRESIDENT,4561501
1980,RHODE ISLAND,RI,US PRESIDENT,415967
1980,SOUTH CAROLINA,SC,US PRESIDENT,888258
1980,SOUTH DAKOTA,SD,US PRESIDENT,327703
1980,TENNESSEE,TN,US PRESIDENT,1617616
1980,TEXAS,TX,US PRESIDENT,4541636
1980,UTAH,UT,US PRESIDENT,604152
1980,VERMONT,VT,US PRESIDENT,213299
1980,VIRGINIA,VA,US PRESIDENT,1866032
1980,WASHINGTON,WA,US PRESIDENT,1742394
1980,WEST VIRGINIA,WV,US PRESIDENT,737715
1980,WISCONSIN,WI,US PRESIDENT,2273221
1980,WYOMING,WY,US PRESIDENT,176713
1984,ALABAMA,AL,US PRESIDENT,1441713
1984,ALASKA,AK,US PRESIDENT,207605
1984,ARIZONA,AZ,US PRESIDENT,1025897
1984,ARKANSAS,AR,US PRESIDENT,884406
1984,CALIFORNIA,CA,US PRESIDENT,9505041
1984,COLORADO,CO,US PRESIDENT,1295380
1984,CONNECTICUT,CT,US PRESIDENT,1466900
1984,DELAWARE,DE,US PRESIDENT,254572
1984,DISTRICT OF COLUMBIA,DC,US PRESIDENT,211288
1984,FLORIDA,FL,US PRESIDENT,4180051
1984,GEORGIA,GA,US PRESIDENT,1776103
1984,HAWAII,HI,US PRESIDENT,335846
1984,IDAHO,ID,US PRESIDENT,411144
1984,ILLINOIS,IL,US PRESIDENT,4819088
1984,INDIANA,IN,US PRESIDENT,2233069
1984,IOWA,IA,US PRESIDENT,1319805
1984,KANSAS,KS,US PRESIDENT,1021991
1984,KENTUCKY,KY,US PRESIDENT,1369345
1984,LOUISIANA,LA,US PRESIDENT,1706822
1984,MAINE,ME,US PRESIDENT,553144
1984,MARYLAND,MD,US PRESIDENT,1675873
1984,MASSACHUSETTS,MA,US PRESIDENT,2559383
1984,MICHIGAN,MI,US PRESIDENT,3801658
1984,MINNESOTA,MN,US PRESIDENT,2084449
1984,MISSISSIPPI,MS,US PRESIDENT,941104
1984,MISSOURI,MO,US PRESIDENT,2122771
1984,MONTANA,MT,US PRESIDENT,384377
1984,NEBRASKA,NE,US PRESIDENT,652090
1984,NEVADA,NV,US PRESIDENT,282717
1984,NEW HAMPSHIRE,NH,US PRESIDENT,388904
1984,NEW JERSEY,NJ,US PRESIDENT,3217862
1984,NEW MEXICO,NM,US PRESIDENT,514370
1984,NEW YORK,NY,US PRESIDENT,6806810
1984,NORTH CAROLINA,NC,US PRESIDENT,2175361
1984,NORTH DAKOTA,ND,US PRESIDENT,308971
1984,OHIO,OH,US PRESIDENT,4563235
1984,OKLAHOMA,OK,US PRESIDENT,1255676
1984,OREGON,OR,US PRESIDENT,1226527
1984,PENNSYLVANIA,PA,US PRESIDENT,4844903
1984,RHODE ISLAND,RI,US PRESIDENT,410489
1984,SOUTH CAROLINA,SC,US PRESIDENT,968529
1984,SOUTH DAKOTA,SD,US PRESIDENT,317867
1984,TENNESSEE,TN,US PRESIDENT,1711993
1984,TEXAS,TX,US PRESIDENT,5397571
